地名,センター,燃やせるごみ（有料),燃やせるごみ（無料),燃やせないごみ(有料),容器包装プラスチック(資源 無料),有害ごみ(無料),びん(資源 無料),缶(資源 無料),ペットボトル(資源 無料),新聞・折込チラシ(資源 無料),段ボール・茶色紙(資源 無料),雑誌・本・雑がみ(資源 無料),牛乳等紙パック(資源 無料),古布(資源 無料),せん定枝(資源 無料),製品プラスチック(資源 無料)
錦町,清掃工場,月 木,月 木,水2 水4,火,水,水,木1 木3 木5,金,水1 水3 水5,金1 金3 金 5,水1 水3 水5,水1 水3 水5,金2 金4,水,水2 水4
柴崎町,清掃工場,月 木,月 木,水2 水4,火,水,水,木1 木3 木5,金,水1 水3 水5,金1 金3 金 5,水1 水3 水5,水1 水3 水5,金2 金4,水,水2 水4
羽衣町,清掃工場,月 木,月 木,水2 水4,火,水,水,木1 木3 木5,金,水1 水3 水5,金1 金3 金 5,水1 水3 水5,水1 水3 水5,金2 金4,水,水2 水4
富士見町,清掃工場,月 木,月 木,水2 水4,火,水,水,木1 木3 木5,金,水1 水3 水5,金1 金3 金 5,水1 水3 水5,水1 水3 水5,金2 金4,水,水2 水4
曙町,清掃工場,月 木,月 木,水2 水4,火,水,水,木1 木3 木5,金,水1 水3 水5,金1 金3 金 5,水1 水3 水5,水1 水3 水5,金2 金4,水,水2 水4
高松町,清掃工場,月 木,月 木,水2 水4,火,水,水,木1 木3 木5,金,水1 水3 水5,金1 金3 金 5,水1 水3 水5,水1 水3 水5,金2 金4,水,水2 水4
栄町,清掃工場,月 木,月 木,水2 水4,火,水,水,木1 木3 木5,金,水1 水3 水5,金1 金3 金 5,水1 水3 水5,水1 水3 水5,金2 金4,水,水2 水4
若葉町,清掃工場,火 金,火 金,水2 水4,月,水,水,金2 金4,木,金1 金3 金5,木1 木3 木5,水1 水3 水5,水1 水3 水5,木2 木4,水,水2 水4
幸町,清掃工場,火 金,火 金,水2 水4,月,水,水,金2 金4,木,金1 金3 金5,木1 木3 木5,水1 水3 水5,水1 水3 水5,木2 木4,水,水2 水4
柏町,清掃工場,火 金,火 金,水2 水4,月,水,水,金2 金4,木,金1 金3 金5,木1 木3 木5,水1 水3 水5,水1 水3 水5,木2 木4,水,水2 水4
緑町,清掃工場,火 金,火 金,水2 水4,月,水,水,金2 金4,木,金1 金3 金5,木1 木3 木5,水1 水3 水5,水1 水3 水5,木2 木4,水,水2 水4
泉町,清掃工場,火 金,火 金,水2 水4,月,水,水,金2 金4,木,金1 金3 金5,木1 木3 木5,水1 水3 水5,水1 水3 水5,木2 木4,水,水2 水4
砂川町,清掃工場,火 金,火 金,水2 水4,月,水,水,金2 金4,木,金1 金3 金5,木1 木3 木5,水1 水3 水5,水1 水3 水5,木2 木4,水,水2 水4
上砂町,清掃工場,火 金,火 金,水2 水4,月,水,水,金2 金4,木,金1 金3 金5,木1 木3 木5,水1 水3 水5,水1 水3 水5,木2 木4,水,水2 水4
一番町,清掃工場,火 金,火 金,水2 水4,月,水,水,金2 金4,木,金1 金3 金5,木1 木3 木5,水1 水3 水5,水1 水3 水5,木2 木4,水,水2 水4
西砂町,清掃工場,火 金,火 金,水2 水4,月,水,水,金2 金4,木,金1 金3 金5,木1 木3 木5,水1 水3 水5,水1 水3 水5,木2 木4,水,水2 水4
